doi,can_archive,archiving_locations,inst_repository,versions,submitted_version,accepted_version,published_version,licenses_required,permission_issuer,embargo,date_embargo_elapsed,is_embargo_elapsed,permission_accepted,permission_published
10.1002/lsm.22255,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2015-08-01,TRUE,TRUE,FALSE
10.1007/s10549-013-2632-9,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2014-07-01,TRUE,TRUE,FALSE
10.1016/j.jacc.2010.03.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3324/haematol.2012.067629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1093/eurheartj/eht039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1001/jamapediatrics.2015.0504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.healun.2010.08.030,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2012-02-01,TRUE,TRUE,FALSE
10.1007/s00431-014-2472-6,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2016-07-01,TRUE,TRUE,FALSE
10.1007/s00392-014-0780-5,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2015-11-01,TRUE,TRUE,FALSE
10.1016/j.pain.2014.01.006,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,NA,NA,NA,NA,FALSE
10.1038/bjc.2013.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/leu.2013.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1093/bja/aes140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1097/mao.0000000000000466,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2015-09-01,TRUE,TRUE,FALSE
10.1111/ecc.12458,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2017-02-09,TRUE,TRUE,FALSE
10.1038/clpt.2011.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00394-013-0647-y,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2015-01-31,TRUE,TRUE,FALSE
10.1016/j.sleep.2014.02.012,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2015-08-01,TRUE,TRUE,FALSE
10.1097/igc.0000000000000831,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[],publisher,0,NA,NA,NA,FALSE
10.1016/j.athoracsur.2012.07.085,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2013-12-01,TRUE,TRUE,FALSE
10.7150/jca.4211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1017/s0022215112000102,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,6,2012-10-01,TRUE,TRUE,FALSE
10.1182/blood-2015-05-647420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1159/000381957,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[],publisher,12,2016-01-01,TRUE,TRUE,FALSE
10.1007/s00392-013-0572-3,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2014-08-01,TRUE,TRUE,FALSE
10.1016/s0959-8049(11)70845-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ijcard.2013.01.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1177/0268355514529507,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,0,NA,NA,NA,FALSE
10.1111/liv.12750,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2016-01-17,TRUE,TRUE,FALSE
10.1016/j.euroneuro.2013.01.001,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-11-01,TRUE,TRUE,FALSE
10.1007/s00392-017-1144-8,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2018-08-28,TRUE,TRUE,FALSE
10.3109/15622975.2012.708438,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[],journal,12,2015-05-01,TRUE,TRUE,FALSE
10.1016/j.eurpsy.2014.11.010,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2016-02-01,TRUE,TRUE,FALSE
10.1097/aln.0b013e3181f4182a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1148/radiol.12111194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1152/japplphysiol.00532.2009,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2010-12-01,TRUE,TRUE,FALSE
10.1111/jcpe.12019,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2013-10-10,TRUE,TRUE,FALSE
10.1002/mds.25661,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2014-11-04,TRUE,TRUE,FALSE
10.1038/clpt.2010.20,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2011-04-07,TRUE,TRUE,FALSE
10.1111/j.1708-8208.2010.00324.x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00415-012-6527-1,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2013-11-01,TRUE,TRUE,FALSE
10.1093/annonc/mdx369.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/leu.2013.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3109/10428194.2014.911869,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[],journal,12,2015-06-25,TRUE,TRUE,FALSE
10.1016/j.jsbmb.2016.07.016,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2018-05-01,TRUE,TRUE,FALSE
10.1111/tri.12095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1159/000376551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jpsychires.2012.01.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.eurpsy.2012.08.001,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-08-01,TRUE,TRUE,FALSE
10.1007/s00586-014-3303-1,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2015-04-24,TRUE,TRUE,FALSE
10.1158/1078-0432.ccr-14-2737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.metabol.2010.02.016,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2012-02-01,TRUE,TRUE,FALSE
10.1097/bot.0000000000000092,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2015-12-01,TRUE,TRUE,FALSE
10.1016/j.jaad.2010.09.724,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2012-12-01,TRUE,TRUE,FALSE
10.2147/cia.s45242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1159/000348450,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[],publisher,12,2014-01-01,TRUE,TRUE,FALSE
10.1038/leu.2016.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/ejp.529,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2015-06-05,TRUE,TRUE,FALSE
10.1159/000356328,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[],publisher,12,2015-01-01,TRUE,TRUE,FALSE
10.1093/bja/aes303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00423-012-0954-4,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2013-04-21,TRUE,TRUE,FALSE
10.4244/eijy15m10_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1080/08977194.2017.1367681,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[],journal,12,2018-05-04,TRUE,TRUE,FALSE
10.1016/j.plefa.2014.04.004,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2015-07-01,TRUE,TRUE,FALSE
10.1016/j.ejso.2008.01.019,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2009-12-01,TRUE,TRUE,FALSE
10.1007/s12032-014-0308-x,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2015-11-04,TRUE,TRUE,FALSE
10.1016/j.healun.2015.08.012,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2017-02-01,TRUE,TRUE,FALSE
10.4244/eijv7i6a113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1097/aln.0b013e31820c3973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1097/aln.0b013e318256ee08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1212/wnl.0000000000001017,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2015-10-24,TRUE,TRUE,FALSE
10.1186/s12876-017-0569-x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1177/2050640613498589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/nu6072973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jcf.2016.05.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s40262-015-0272-4,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2016-04-30,TRUE,TRUE,FALSE
10.1007/s10554-014-0376-1,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2015-01-23,TRUE,TRUE,FALSE
10.1055/s-0032-1325760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00430-014-0385-7,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2016-01-09,TRUE,TRUE,FALSE
10.1007/s00347-012-2725-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3233/rnn-120283,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other (non-commercial)'}],publisher,0,NA,NA,NA,FALSE
10.1177/0300060513509548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/j.1365-2044.2011.06872.x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/hae.12793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00268-010-0933-2,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2011-12-29,TRUE,TRUE,FALSE
10.2337/dc11-1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s10620-010-1535-4,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2012-01-08,TRUE,TRUE,FALSE
10.1016/j.jad.2013.12.025,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2015-03-01,TRUE,TRUE,FALSE
10.1016/s1359-6349(09)71339-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00392-010-0269-9,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2011-12-17,TRUE,TRUE,FALSE
10.1016/j.jaci.2013.04.008,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-09-01,TRUE,TRUE,FALSE
10.1097/ajp.0b013e318251026c,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2014-03-01,TRUE,TRUE,FALSE
10.3205/11dkvf049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1159/000356400,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[],publisher,12,2015-01-01,TRUE,TRUE,FALSE
10.1373/clinchem.2017.275289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.2967/jnumed.115.169987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00415-016-8169-1,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2017-08-01,TRUE,TRUE,FALSE
10.1016/j.metabol.2013.11.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jaci.2014.03.026,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2015-06-01,TRUE,TRUE,FALSE
10.1017/s000711451200222x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jpsychires.2014.03.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/eos.12090,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2014-09-23,TRUE,TRUE,FALSE
10.1007/s00432-014-1682-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1159/000447671,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[],publisher,12,2017-01-01,TRUE,TRUE,FALSE
10.1016/j.ejca.2011.11.007,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2013-07-01,TRUE,TRUE,FALSE
10.1186/1476-511x-10-145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/bju.12437,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2015-02-14,TRUE,TRUE,FALSE
10.1016/j.psyneuen.2012.10.002,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-07-01,TRUE,TRUE,FALSE
10.1093/jac/dku553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/eji.201444586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/aos.12722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1161/atvbaha.113.301227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/j.1526-4637.2011.01053.x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1213/ane.0b013e31827ced18,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2014-03-01,TRUE,TRUE,FALSE
10.1055/s-0033-1344714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/aas.12143,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2014-06-10,TRUE,TRUE,FALSE
10.3109/15622975.2014.964768,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[],journal,12,2015-11-28,TRUE,TRUE,FALSE
10.1016/j.dld.2016.08.124,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2018-01-01,TRUE,TRUE,FALSE
10.1007/s00066-014-0677-2,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2015-05-17,TRUE,TRUE,FALSE
10.1177/0267659112447654,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,0,NA,NA,NA,FALSE
10.1158/2326-6066.cir-13-0206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1055/s-0034-1395621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.freeradbiomed.2012.02.051,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2013-05-01,TRUE,TRUE,FALSE
10.1016/j.jneuroim.2011.06.015,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2012-09-01,TRUE,TRUE,FALSE
10.1159/000381086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ijcard.2012.05.056,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-09-01,TRUE,TRUE,FALSE
10.1038/nm.3462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ijrobp.2010.07.1985,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2012-11-01,TRUE,TRUE,FALSE
10.1155/2017/5068969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1155/2015/643520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00520-015-2660-6,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/52DS-NZFF'}]",publisher,12,2016-10-01,TRUE,TRUE,FALSE
10.1016/j.eujim.2012.04.001,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2013-12-01,TRUE,TRUE,FALSE
10.1159/000350071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1177/0020764013482311,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,0,NA,NA,NA,FALSE
10.1007/s00213-013-3081-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.nut.2013.05.012,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-11-01,TRUE,TRUE,FALSE
10.1007/s00392-012-0452-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1475-2891-11-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1155/2015/798486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/jcpp.12177,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2014-12-23,TRUE,TRUE,FALSE
10.1111/aos.13360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s10549-014-2930-x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1093/schbul/sbw041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.seizure.2013.05.010,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2014-11-01,TRUE,TRUE,FALSE
10.1371/journal.pone.0027351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/jdv.12823,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,"[{'type': 'other (non-commercial)', 'terms': 'https://perma.cc/6S5D-XMF4'}]",journal,12,2015-11-14,TRUE,TRUE,FALSE
10.1002/ijc.29011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.brat.2017.05.012,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,24,2019-08-01,TRUE,TRUE,FALSE
10.1055/s-0035-1557905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1080/10503307.2015.1094587,TRUE,['institutional repository'],TRUE,['acceptedVersion'],FALSE,TRUE,FALSE,[],journal,12,2016-11-02,TRUE,TRUE,FALSE
10.3238/arztebl.2015.0683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ctim.2016.04.002,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2017-06-01,TRUE,TRUE,FALSE
10.1148/radiol.12112061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1097/eja.0000000000000626,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'other-closed'}],publisher,12,2018-08-01,TRUE,TRUE,FALSE
10.4022/jafib.1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.brs.2014.11.014,TRUE,['institutional repository'],TRUE,"['acceptedVersion', 'submittedVersion']",TRUE,TRUE,FALSE,[{'type': 'cc-by-nc-nd'}],journal,12,2016-03-01,TRUE,TRUE,FALSE
10.1186/s12971-016-0091-x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
