doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1093/jpids/piv064,hybrid,hybrid,"2048-7193,2048-7207",Journal of the Pediatric Infectious Diseases Society,Oxford University Press (OUP),2016-01-23
10.1111/psyp.12553,closed,closed,0048-5772,Psychophysiology,Wiley,2016-02-15
10.7326/m13-2056,closed,closed,0003-4819,Annals of Internal Medicine,American College of Physicians,2014-04-01
10.1016/j.seizure.2015.08.011,hybrid,hybrid,1059-1311,Seizure,Elsevier BV,2015-11-01
10.1016/j.clnu.2014.01.014,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2014-12-01
10.1007/s00394-012-0427-0,closed,closed,"1436-6207,1436-6215",European Journal of Nutrition,Springer Science and Business Media LLC,2012-07-27
10.1016/j.jcin.2014.09.007,bronze,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2015-01-01
10.1186/1741-7015-10-54,gold,gold,1741-7015,BMC Medicine,Springer Science and Business Media LLC,2012-05-30
10.1136/thoraxjnl-2014-205221,hybrid,hybrid,"0040-6376,1468-3296",Thorax,BMJ,2014-06-02
10.1136/annrheumdis-2013-204248,closed,closed,"0003-4967,1468-2060",Annals of the Rheumatic Diseases,BMJ,2014-01-03
10.1016/j.brs.2013.09.007,closed,closed,1935-861X,Brain Stimulation,Elsevier BV,2014-01-01
10.1371/journal.pone.0135037,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-08-28
10.1016/s1474-4422(15)00147-7,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2015-09-01
10.1111/famp.12051,closed,closed,0014-7370,Family Process,Wiley,2013-11-19
10.1371/journal.pone.0118564,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-03-11
10.1007/s00415-011-5906-3,closed,closed,"0340-5354,1432-1459",Journal of Neurology,Springer Science and Business Media LLC,2011-02-02
10.1016/s1470-2045(14)70452-8,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2014-11-01
10.1007/s00520-015-2657-1,hybrid,hybrid,"0941-4355,1433-7339",Supportive Care in Cancer,Springer Science and Business Media LLC,2015-02-28
10.1016/j.jacc.2012.09.004,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2012-11-01
10.7326/0003-4819-155-9-201111010-00005,closed,closed,0003-4819,Annals of Internal Medicine,American College of Physicians,2011-11-01
10.1007/s00417-013-2428-y,closed,closed,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2013-07-28
10.1111/nmo.12484,hybrid,hybrid,"1350-1925,1365-2982",Neurogastroenterology & Motility,Wiley,2014-12-21
10.1016/j.jcf.2014.06.003,bronze,bronze,1569-1993,Journal of Cystic Fibrosis,Elsevier BV,2015-01-01
10.1016/j.gaitpost.2012.02.017,closed,closed,0966-6362,Gait &amp; Posture,Elsevier BV,2012-06-01
10.1186/1471-2407-11-510,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2011-12-01
10.1055/s-0034-1377628,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2014-09-10
10.1016/j.atherosclerosis.2011.10.043,closed,closed,0021-9150,Atherosclerosis,Elsevier BV,2012-01-01
10.1016/j.jacc.2014.04.072,hybrid,hybrid,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2014-08-01
10.1371/journal.pone.0160096,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2016-09-09
10.1016/j.jpeds.2016.06.078,closed,closed,0022-3476,The Journal of Pediatrics,Elsevier BV,2016-10-01
10.1016/s1470-2045(11)70196-6,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2011-10-01
10.1371/journal.pone.0090828,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2014-03-07
10.1001/jamadermatol.2013.7733,bronze,bronze,2168-6068,JAMA Dermatology,American Medical Association (AMA),2014-06-01
10.1177/1457496913490457,closed,closed,"1457-4969,1799-7267",Scandinavian Journal of Surgery,SAGE Publications,2013-08-20
10.1016/j.jtcvs.2013.08.031,bronze,bronze,0022-5223,The Journal of Thoracic and Cardiovascular Surgery,Elsevier BV,2014-07-01
10.1186/cc12885,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2013-01-01
10.1007/s11325-014-1083-9,closed,closed,"1520-9512,1522-1709",Sleep and Breathing,Springer Science and Business Media LLC,2014-11-21
10.1038/ajg.2011.388,closed,closed,0002-9270,American Journal of Gastroenterology,Ovid Technologies (Wolters Kluwer Health),2012-03-01
10.1161/circimaging.114.002566,bronze,bronze,"1941-9651,1942-0080",Circulation: Cardiovascular Imaging,Ovid Technologies (Wolters Kluwer Health),2015-04-01
10.1093/infdis/jiu540,closed,closed,"0022-1899,1537-6613",The Journal of Infectious Diseases,Oxford University Press (OUP),2014-09-28
10.1007/s00125-014-3457-8,bronze,bronze,"0012-186X,1432-0428",Diabetologia,Springer Science and Business Media LLC,2014-11-26
10.1186/1471-2407-14-67,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2014-02-05
10.1186/1472-6947-13-44,gold,gold,1472-6947,BMC Medical Informatics and Decision Making,Springer Science and Business Media LLC,2013-04-10
10.1371/journal.pone.0140215,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-10-20
10.1200/jco.2012.42.2907,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2012-10-10
10.1126/scitranslmed.3006168,green,green,"1946-6234,1946-6242",Science Translational Medicine,American Association for the Advancement of Science (AAAS),2013-06-05
10.1111/jdv.12490,closed,closed,0926-9959,Journal of the European Academy of Dermatology and Venereology,Wiley,2014-03-25
10.1161/circinterventions.113.000463,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2013-08-01
10.3945/ajcn.113.075309,closed,closed,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2015-01-14
10.1007/s00280-015-2761-4,closed,closed,"0344-5704,1432-0843",Cancer Chemotherapy and Pharmacology,Springer Science and Business Media LLC,2015-05-08
10.1159/000398790,closed,closed,"0012-2823,1421-9867",Digestion,S. Karger AG,2015-01-01
10.1016/j.carrev.2014.12.007,closed,closed,1553-8389,Cardiovascular Revascularization Medicine,Elsevier BV,2015-03-01
10.1371/journal.pone.0070866,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2013-08-16
10.1016/j.jacc.2013.02.011,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2013-05-01
10.1016/s1470-2045(14)70160-3,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2014-06-01
10.1016/j.jad.2014.05.035,closed,closed,0165-0327,Journal of Affective Disorders,Elsevier BV,2014-10-01
10.1007/s00394-014-0764-2,closed,closed,"1436-6207,1436-6215",European Journal of Nutrition,Springer Science and Business Media LLC,2014-09-13
10.1016/s1474-4422(15)00243-4,green,green,1474-4422,The Lancet Neurology,Elsevier BV,2015-12-01
10.1016/s1470-2045(15)00520-3,green,green,1470-2045,The Lancet Oncology,Elsevier BV,2016-03-01
10.1186/1479-5876-11-34,gold,gold,1479-5876,Journal of Translational Medicine,Springer Science and Business Media LLC,2013-02-08
10.1530/eje-12-1057,bronze,bronze,"0804-4643,1479-683X",European Journal of Endocrinology,Bioscientifica,2013-08-01
10.1016/j.jcmg.2015.02.024,bronze,bronze,1936-878X,JACC: Cardiovascular Imaging,Elsevier BV,2015-08-01
10.1016/s1470-2045(15)00447-7,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2016-01-01
10.1007/s10549-014-3249-3,green,green,"0167-6806,1573-7217",Breast Cancer Research and Treatment,Springer Science and Business Media LLC,2015-01-01
10.1016/j.tmaid.2014.04.011,closed,closed,1477-8939,Travel Medicine and Infectious Disease,Elsevier BV,2014-09-01
10.1007/s10549-017-4141-8,closed,closed,"0167-6806,1573-7217",Breast Cancer Research and Treatment,Springer Science and Business Media LLC,2017-02-08
10.1111/apt.13115,hybrid,hybrid,0269-2813,Alimentary Pharmacology & Therapeutics,Wiley,2015-02-19
10.1001/jama.2016.5258,bronze,green,0098-7484,JAMA,American Medical Association (AMA),2016-05-10
10.1016/s1473-3099(14)70782-0,closed,closed,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2014-07-01
10.1016/j.clnu.2012.11.005,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2013-08-01
10.1016/j.jpba.2012.07.025,closed,closed,0731-7085,Journal of Pharmaceutical and Biomedical Analysis,Elsevier BV,2012-12-01
10.1002/ccd.26216,closed,closed,1522-1946,Catheterization and Cardiovascular Interventions,Wiley,2015-09-02
10.1016/s1473-3099(14)70796-0,closed,closed,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2014-07-01
10.1371/journal.pone.0065378,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2013-06-07
10.1016/s1470-2045(12)70116-x,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-06-01
10.1016/s1470-2045(12)70164-x,green,green,1470-2045,The Lancet Oncology,Elsevier BV,2012-07-01
10.1210/jc.2012-4287,bronze,bronze,"0021-972X,1945-7197",The Journal of Clinical Endocrinology &amp; Metabolism,The Endocrine Society,2013-11-01
10.1016/s1473-3099(13)70110-5,closed,closed,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2013-08-01
10.1093/bja/aet251,bronze,bronze,0007-0912,British Journal of Anaesthesia,Elsevier BV,2013-12-01
10.3945/ajcn.111.031492,bronze,bronze,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2012-05-09
10.1161/circep.113.000066,bronze,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2013-10-01
10.4244/eijy14m12_02,closed,closed,1774-024X,EuroIntervention,Europa Digital & Publishing,2015-02-01
10.1055/s-0033-1359041,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2013-12-18
10.1093/bja/aet485,bronze,bronze,0007-0912,British Journal of Anaesthesia,Elsevier BV,2014-05-01
10.1016/j.ctim.2014.09.007,closed,closed,0965-2299,Complementary Therapies in Medicine,Elsevier BV,2014-12-01
10.1016/j.hrthm.2015.01.021,closed,closed,1547-5271,Heart Rhythm,Elsevier BV,2015-05-01
10.1208/s12248-012-9412-z,green,green,1550-7416,The AAPS Journal,Springer Science and Business Media LLC,2012-10-13
10.1056/nejmoa1315226,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2014-03-13
10.1186/1472-6882-12-235,gold,gold,1472-6882,BMC Complementary and Alternative Medicine,Springer Science and Business Media LLC,2012-11-28
10.4244/eijy14m12_01,closed,closed,1774-024X,EuroIntervention,Europa Digital & Publishing,2015-02-01
10.1186/s11556-015-0150-y,gold,gold,"1813-7253,1861-6909",European Review of Aging and Physical Activity,Springer Science and Business Media LLC,2015-10-09
10.1097/mcg.0000000000000110,closed,closed,0192-0790,Journal of Clinical Gastroenterology,Ovid Technologies (Wolters Kluwer Health),2015-02-01
10.1111/ejh.12714,closed,closed,0902-4441,European Journal of Haematology,Wiley,2016-02-09
10.1097/txd.0000000000000588,gold,gold,2373-8731,Transplantation Direct,Ovid Technologies (Wolters Kluwer Health),2016-06-01
10.5665/sleep.3674,bronze,green,"0161-8105,1550-9109",Sleep,Oxford University Press (OUP),2014-05-01
10.1186/s13054-014-0582-1,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2014-10-01
10.3389/fpsyg.2016.00898,gold,gold,1664-1078,Frontiers in Psychology,Frontiers Media SA,2016-06-21
10.2340/00015555-1490,gold,gold,0001-5555,Acta Dermato Venereologica,Medical Journals Sweden AB,2013-01-01
10.1186/1471-2253-14-39,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2014-05-22
10.1016/j.clnu.2014.03.008,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2015-02-01
10.1182/blood-2015-03-630897,bronze,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2015-08-27
10.1016/j.jvs.2014.10.005,bronze,bronze,0741-5214,Journal of Vascular Surgery,Elsevier BV,2015-03-01
10.1097/aog.0b013e31826af9a9,closed,closed,0029-7844,Obstetrics & Gynecology,Ovid Technologies (Wolters Kluwer Health),2012-10-01
10.1186/s12936-015-0628-0,gold,gold,1475-2875,Malaria Journal,Springer Science and Business Media LLC,2015-03-18
10.1007/s00125-012-2795-7,hybrid,hybrid,"0012-186X,1432-0428",Diabetologia,Springer Science and Business Media LLC,2012-12-13
10.1210/jc.2014-3868,green,green,"0021-972X,1945-7197",The Journal of Clinical Endocrinology &amp; Metabolism,The Endocrine Society,2015-06-01
10.2196/jmir.6358,gold,gold,1438-8871,Journal of Medical Internet Research,JMIR Publications Inc.,2016-12-01
10.1016/s1470-2045(16)00080-2,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2016-05-01
10.1016/j.biopsych.2012.10.010,closed,closed,0006-3223,Biological Psychiatry,Elsevier BV,2013-04-01
10.1097/sla.0000000000000235,closed,closed,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2013-12-01
10.1017/s136898001100200x,bronze,bronze,"1368-9800,1475-2727",Public Health Nutrition,Cambridge University Press (CUP),2011-08-23
10.1111/epi.12833,bronze,green,0013-9580,Epilepsia,Wiley,2014-11-19
10.1007/s00125-013-3120-9,closed,closed,"0012-186X,1432-0428",Diabetologia,Springer Science and Business Media LLC,2013-12-05
10.1002/pon.3927,closed,closed,1057-9249,Psycho-Oncology,Wiley,2015-07-29
10.1186/1471-2474-15-3,gold,gold,1471-2474,BMC Musculoskeletal Disorders,Springer Science and Business Media LLC,2014-01-08
10.1056/nejmoa1316145,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2014-05-22
10.1186/1745-6215-15-155,gold,gold,1745-6215,Trials,Springer Science and Business Media LLC,2014-05-02
10.1097/sla.0000000000000218,green,green,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2015-03-01
10.1111/pan.12683,closed,closed,1155-5645,Pediatric Anesthesia,Wiley,2015-07-14
10.1161/circulationaha.113.006987,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2014-04-08
10.1016/j.lfs.2015.12.058,closed,closed,0024-3205,Life Sciences,Elsevier BV,2016-02-01
10.1016/j.clnu.2015.04.021,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2016-04-01
10.3945/ajcn.113.062679,bronze,bronze,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2013-09-11
10.1016/j.jacc.2013.03.059,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2013-07-01
10.1515/cclm-2013-0976,closed,closed,"1437-4331,1434-6621",Clinical Chemistry and Laboratory Medicine (CCLM),Walter de Gruyter GmbH,2014-01-01
10.1186/2045-7022-4-7,gold,gold,"2045-7022,2045-7022",Clinical and Translational Allergy,Wiley,2014-01-01
10.3945/jn.113.179390,closed,closed,"0022-3166,1541-6100",The Journal of Nutrition,Oxford University Press (OUP),2013-08-14
10.1056/nejmoa1411776,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2015-05-21
10.1016/j.jtos.2013.12.001,closed,closed,1542-0124,The Ocular Surface,Elsevier BV,2014-04-01
10.1016/j.jacc.2013.07.090,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2014-03-01
10.1155/2015/810797,gold,gold,"2314-6133,2314-6141",BioMed Research International,Hindawi Limited,2015-01-01
10.1177/1932296815580161,bronze,green,"1932-2968,1932-2968",Journal of Diabetes Science and Technology,SAGE Publications,2015-04-14
10.2340/00015555-2268,gold,gold,0001-5555,Acta Dermato Venereologica,Acta Dermato-Venereologica,2014-01-01
10.1111/ipd.12097,closed,closed,0960-7439,International Journal of Paediatric Dentistry,Wiley,2014-03-07
10.1007/s00464-013-2994-4,closed,closed,"0930-2794,1432-2218",Surgical Endoscopy,Springer Science and Business Media LLC,2013-05-14
10.1016/j.physio.2015.07.004,closed,closed,0031-9406,Physiotherapy,Elsevier BV,2016-09-01
10.1016/j.ejogrb.2013.09.015,closed,closed,0301-2115,European Journal of Obstetrics & Gynecology and Reproductive Biology,Elsevier BV,2013-12-01
10.1002/cpt.258,closed,closed,0009-9236,Clinical Pharmacology &amp; Therapeutics,Wiley,2015-10-19
10.2337/db14-0477,closed,closed,"0012-1797,1939-327X",Diabetes,American Diabetes Association,2014-11-13
10.3945/jn.113.180802,green,green,"0022-3166,1541-6100",The Journal of Nutrition,Oxford University Press (OUP),2014-02-19
10.1177/193229681300700611,bronze,green,"1932-2968,1932-2968",Journal of Diabetes Science and Technology,SAGE Publications,2013-11-01
10.1192/bjp.bp.116.184168,bronze,bronze,"0007-1250,1472-1465",British Journal of Psychiatry,Royal College of Psychiatrists,2017-02-01
10.1111/jdv.13305,hybrid,hybrid,"0926-9959,1468-3083",Journal of the European Academy of Dermatology and Venereology,Wiley,2015-09-28
10.1001/jama.2013.277446,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2013-10-23
10.1053/j.jvca.2014.04.017,closed,closed,1053-0770,Journal of Cardiothoracic and Vascular Anesthesia,Elsevier BV,2014-10-01
10.1089/dia.2015.0085,closed,closed,"1520-9156,1557-8593",Diabetes Technology &amp; Therapeutics,Mary Ann Liebert Inc,2015-09-01
10.1177/0022034513504953,green,green,"0022-0345,1544-0591",Journal of Dental Research,SAGE Publications,2013-10-24
10.1016/j.jpeds.2014.10.007,closed,closed,0022-3476,The Journal of Pediatrics,Elsevier BV,2015-02-01
10.1016/j.juro.2015.04.073,closed,closed,"0022-5347,1527-3792",Journal of Urology,Ovid Technologies (Wolters Kluwer Health),2015-10-01
10.1371/journal.pone.0136375,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-08-25
10.1186/1471-2253-14-54,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2014-07-15
10.1371/journal.pone.0118609,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-03-13
10.1007/s00392-016-1019-4,hybrid,hybrid,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2016-07-05
10.1136/thoraxjnl-2014-206211,bronze,bronze,0040-6376,Thorax,BMJ,2015-03-06
10.1161/circinterventions.115.002930,bronze,green,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2016-06-01
10.1371/journal.pone.0125035,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-05-08
10.1186/s13058-015-0639-3,gold,gold,1465-542X,Breast Cancer Research,Springer Science and Business Media LLC,2015-09-18
10.1007/s00402-015-2227-5,closed,closed,"0936-8051,1434-3916",Archives of Orthopaedic and Trauma Surgery,Springer Science and Business Media LLC,2015-05-10
10.1371/journal.pone.0121478,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-04-17
10.1016/j.jdent.2014.10.011,closed,closed,0300-5712,Journal of Dentistry,Elsevier BV,2015-01-01
10.1055/s-0034-1393312,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2015-11-12
10.1002/micr.22470,closed,closed,0738-1085,Microsurgery,Wiley,2015-08-07
10.1515/cclm-2012-0599,closed,closed,"1437-4331,1434-6621",Clinical Chemistry and Laboratory Medicine,Walter de Gruyter GmbH,2013-01-01
10.1186/s40001-015-0187-4,gold,gold,2047-783X,European Journal of Medical Research,Springer Science and Business Media LLC,2015-11-25
10.1001/jama.2015.2928,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2015-04-21
10.1371/journal.pone.0160142,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2016-07-28
10.1111/j.1365-2133.2011.10613.x,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2011-12-21
10.1186/s13102-016-0058-5,gold,gold,2052-1847,"BMC Sports Science, Medicine and Rehabilitation",Springer Science and Business Media LLC,2016-10-13
10.1016/j.pmrj.2016.12.003,closed,closed,1934-1482,PM&amp;R,Wiley,2017-01-08
10.1111/jch.12851,bronze,green,1524-6175,The Journal of Clinical Hypertension,Wiley,2016-06-16
10.1161/circep.116.004422,bronze,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2017-03-01
10.1186/s12872-017-0674-3,gold,gold,1471-2261,BMC Cardiovascular Disorders,Springer Science and Business Media LLC,2017-09-06
10.1016/j.jvs.2011.07.099,bronze,bronze,0741-5214,Journal of Vascular Surgery,Elsevier BV,2012-02-01
10.1093/annonc/mdr300,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2012-04-01
10.1016/j.sleep.2017.05.009,closed,closed,1389-9457,Sleep Medicine,Elsevier BV,2017-08-01
10.1111/ddg.12100,closed,closed,1610-0379,JDDG: Journal der Deutschen Dermatologischen Gesellschaft,Wiley,2013-07-23
10.1016/j.juro.2012.03.008,green,green,"0022-5347,1527-3792",Journal of Urology,Ovid Technologies (Wolters Kluwer Health),2012-07-01
10.1111/jdv.14041,closed,closed,0926-9959,Journal of the European Academy of Dermatology and Venereology,Wiley,2016-12-07
10.1002/j.1532-2149.2011.00062.x,green,green,"1090-3801,1532-2149",European Journal of Pain,Wiley,2011-12-19
10.1016/j.jacl.2016.05.010,hybrid,hybrid,1933-2874,Journal of Clinical Lipidology,Elsevier BV,2016-09-01
10.1016/j.clbc.2016.11.008,closed,closed,1526-8209,Clinical Breast Cancer,Elsevier BV,2017-07-01
10.1001/jamaoncol.2017.0515,bronze,green,2374-2437,JAMA Oncology,American Medical Association (AMA),2017-09-01
10.1007/s10637-017-0450-3,hybrid,hybrid,"0167-6997,1573-0646",Investigational New Drugs,Springer Science and Business Media LLC,2017-03-16
10.3324/haematol.2016.163246,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2017-05-18
10.1161/strokeaha.111.000013,bronze,bronze,"0039-2499,1524-4628",Stroke,Ovid Technologies (Wolters Kluwer Health),2013-03-01
10.1183/09031936.00104612,bronze,green,"0903-1936,1399-3003",European Respiratory Journal,European Respiratory Society (ERS),2013-05-16
10.1200/jco.2015.64.9897,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-05-20
10.1007/s13555-013-0039-5,gold,gold,"2193-8210,2190-9172",Dermatology and Therapy,Springer Science and Business Media LLC,2013-12-01
10.1039/c3pp25425a,closed,closed,"1474-905X,1474-9092",Photochemical & Photobiological Sciences,Springer Science and Business Media LLC,2013-01-01
10.1186/s12885-016-2736-9,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2016-08-31
10.1136/bjophthalmol-2015-307672,closed,closed,"0007-1161,1468-2079",British Journal of Ophthalmology,BMJ,2016-02-22
10.1017/s0033291710002618,closed,closed,"0033-2917,1469-8978",Psychological Medicine,Cambridge University Press (CUP),2011-01-28
10.1093/europace/eus084,bronze,bronze,"1099-5129,1532-2092",Europace,Oxford University Press (OUP),2012-04-20
10.1684/ejd.2017.3008,closed,closed,"1167-1122,1952-4013",European Journal of Dermatology,John Libbey Eurotext,2017-05-01
10.1159/000358088,closed,closed,"1423-0224,0302-282X",Neuropsychobiology,S. Karger AG,2014-01-01
10.1371/journal.pone.0182632,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-08-10
10.1016/s1474-4422(17)30085-6,green,green,1474-4422,The Lancet Neurology,Elsevier BV,2017-07-01
10.1179/1528433614z.0000000011,bronze,green,"1528-4336,1945-5771",HIV Clinical Trials,Informa UK Limited,2015-04-01
10.1093/ejo/cjw060,closed,closed,"0141-5387,1460-2210",The European Journal of Orthodontics,Oxford University Press (OUP),2016-10-04
10.1093/annonc/mdu101,hybrid,hybrid,0923-7534,Annals of Oncology,Elsevier BV,2014-07-01
10.1158/1078-0432.ccr-15-2512,closed,closed,"1078-0432,1557-3265",Clinical Cancer Research,American Association for Cancer Research (AACR),2016-06-30
10.1093/annonc/mdu096,hybrid,hybrid,0923-7534,Annals of Oncology,Elsevier BV,2014-07-01
10.1016/j.brat.2012.04.006,closed,closed,0005-7967,Behaviour Research and Therapy,Elsevier BV,2012-08-01
10.1186/s12883-017-0839-9,gold,gold,1471-2377,BMC Neurology,Springer Science and Business Media LLC,2017-03-23
10.1007/s00784-013-1164-3,closed,closed,"1432-6981,1436-3771",Clinical Oral Investigations,Springer Science and Business Media LLC,2014-01-10
10.1186/s12890-017-0486-3,gold,gold,1471-2466,BMC Pulmonary Medicine,Springer Science and Business Media LLC,2017-11-17
10.1161/circinterventions.116.004244,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2017-03-01
10.1177/0333102416660549,closed,closed,"0333-1024,1468-2982",Cephalalgia,SAGE Publications,2016-07-20
10.1093/annonc/mdt254,bronze,green,0923-7534,Annals of Oncology,Elsevier BV,2013-10-01
10.1038/bjc.2016.82,hybrid,hybrid,"0007-0920,1532-1827",British Journal of Cancer,Springer Science and Business Media LLC,2016-03-31
10.1182/blood-2011-12-396556,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2012-06-21
10.1007/s12288-011-0103-1,green,green,"0971-4502,0974-0449",Indian Journal of Hematology and Blood Transfusion,Springer Science and Business Media LLC,2011-08-18
10.1016/j.euroneuro.2014.12.010,closed,closed,0924-977X,European Neuropsychopharmacology,Elsevier BV,2015-06-01
10.1136/annrheumdis-2016-eular.2780,closed,closed,"0003-4967,1468-2060",Annals of the Rheumatic Diseases,BMJ,2016-06-01
10.1093/annonc/mdl079,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2006-06-01
10.1200/jco.2009.27.15_suppl.5553,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2009-05-20
10.1186/s40661-017-0040-2,green,green,2053-6844,Gynecologic Oncology Research and Practice,Springer Science and Business Media LLC,2017-03-07
10.1007/s00277-014-2242-6,closed,closed,"0939-5555,1432-0584",Annals of Hematology,Springer Science and Business Media LLC,2014-11-05
10.1111/ejh.12675,closed,closed,0902-4441,European Journal of Haematology,Wiley,2015-09-17
10.1159/000343140,closed,closed,"1421-9670,0250-8095",American Journal of Nephrology,S. Karger AG,2012-01-01
10.1111/j.1600-0625.2011.01312.x,bronze,bronze,0906-6705,Experimental Dermatology,Wiley,2011-06-14
10.1111/j.1468-3083.2011.04005.x,closed,closed,0926-9959,Journal of the European Academy of Dermatology and Venereology,Wiley,2011-03-18
10.1002/cncr.25156,closed,closed,0008-543X,Cancer,Wiley,2010-06-08
10.1093/annonc/mdt289,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2013-10-01
10.1200/jco.2013.31.15_suppl.3051,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-05-20
10.1016/j.antiviral.2011.03.184,green,green,0166-3542,Antiviral Research,Elsevier BV,2011-06-01
10.1007/s00702-010-0472-x,closed,closed,"0300-9564,1435-1463",Journal of Neural Transmission,Springer Science and Business Media LLC,2010-08-29
10.1111/bjh.13476,green,green,0007-1048,British Journal of Haematology,Wiley,2015-05-05
10.1182/blood-2011-01-330795,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2011-07-07
10.1136/bjophthalmol-2011-300218,closed,closed,"0007-1161,1468-2079",British Journal of Ophthalmology,BMJ,2012-01-23
